UNITID,SECTOR
116350,Private for-profits
450979,Private for-profits
459161,Private for-profits
482291,Private for-profits
397942,Private for-profits
393649,Private for-profits
470038,Private for-profits
468909,Private for-profits
447607,Private for-profits
384245,Private for-profits
124681,Private for-profits
384236,Private for-profits
468848,Private for-profits
480471,Private for-profits
447616,Private for-profits
447050,Private for-profits
459204,Private for-profits
476799,Private for-profits
479424,Private for-profits
124779,Private for-profits
372240,Private for-profits
485573,Private for-profits
438504,Private for-profits
448433,Private for-profits
487597,Private for-profits
442930,Private for-profits
447801,Private for-profits
484631,Private for-profits
367954,Private for-profits
484862,Private for-profits
449445,Private for-profits
431956,Private for-profits
481474,Private for-profits
125310,Private for-profits
441229,Private for-profits
489858,Private for-profits
443331,Private for-profits
458229,Private for-profits
458210,Private for-profits
486141,Private for-profits
490133,Private for-profits
126030,Private for-profits
481289,Private for-profits
486248,Private for-profits
457271,Private not-for-profit four-years
108269,Private not-for-profit four-years
384306,Private not-for-profit four-years
490081,Private not-for-profit four-years
108861,Private not-for-profit four-years
109086,Private not-for-profit four-years
108870,Private not-for-profit four-years
116846,Private not-for-profit four-years
245838,Private not-for-profit four-years
245847,Private not-for-profit four-years
109651,Private not-for-profit four-years
109785,Private not-for-profit four-years
474863,Private not-for-profit four-years
461643,Private not-for-profit four-years
262022,Private not-for-profit four-years
110060,Private not-for-profit four-years
110097,Private not-for-profit four-years
262086,Private not-for-profit four-years
110361,Private not-for-profit four-years
110918,Private not-for-profit four-years
110370,Private not-for-profit four-years
478634,Private not-for-profit four-years
485263,Private not-for-profit four-years
487649,Private not-for-profit four-years
110316,Private not-for-profit four-years
110404,Private not-for-profit four-years
111081,Private not-for-profit four-years
483586,Private not-for-profit four-years
486488,Private not-for-profit four-years
110413,Private not-for-profit four-years
460075,Private not-for-profit four-years
111391,Private not-for-profit four-years
111948,Private not-for-profit four-years
111966,Private not-for-profit four-years
112127,Private not-for-profit four-years
112251,Private not-for-profit four-years
488387,Private not-for-profit four-years
112260,Private not-for-profit four-years
124283,Private not-for-profit four-years
112446,Private not-for-profit four-years
112570,Private not-for-profit four-years
112075,Private not-for-profit four-years
113537,Private not-for-profit four-years
113704,Private not-for-profit four-years
113698,Private not-for-profit four-years
122117,Private not-for-profit four-years
124487,Private not-for-profit four-years
114549,Private not-for-profit four-years
114734,Private not-for-profit four-years
114813,Private not-for-profit four-years
114840,Private not-for-profit four-years
115083,Private not-for-profit four-years
481058,Private not-for-profit four-years
115214,Private not-for-profit four-years
115409,Private not-for-profit four-years
485403,Private not-for-profit four-years
115728,Private not-for-profit four-years
457086,Private not-for-profit four-years
120537,Private not-for-profit four-years
115773,Private not-for-profit four-years
443128,Private not-for-profit four-years
441238,Private not-for-profit four-years
116712,Private not-for-profit four-years
462354,Private not-for-profit four-years
440031,Private not-for-profit four-years
117627,Private not-for-profit four-years
117168,Private not-for-profit four-years
117520,Private not-for-profit four-years
117104,Private not-for-profit four-years
117557,Private not-for-profit four-years
117636,Private not-for-profit four-years
117946,Private not-for-profit four-years
123943,Private not-for-profit four-years
118541,Private not-for-profit four-years
118693,Private not-for-profit four-years
119058,Private not-for-profit four-years
118888,Private not-for-profit four-years
484844,Private not-for-profit four-years
119173,Private not-for-profit four-years
119605,Private not-for-profit four-years
120184,Private not-for-profit four-years
120254,Private not-for-profit four-years
120403,Private not-for-profit four-years
120768,Private not-for-profit four-years
120795,Private not-for-profit four-years
120838,Private not-for-profit four-years
120865,Private not-for-profit four-years
120698,Private not-for-profit four-years
121628,Private not-for-profit four-years
121150,Private not-for-profit four-years
110307,Private not-for-profit four-years
121257,Private not-for-profit four-years
121309,Private not-for-profit four-years
121345,Private not-for-profit four-years
490045,Private not-for-profit four-years
486433,Private not-for-profit four-years
455770,Private not-for-profit four-years
123554,Private not-for-profit four-years
122296,Private not-for-profit four-years
112084,Private not-for-profit four-years
122454,Private not-for-profit four-years
122506,Private not-for-profit four-years
122603,Private not-for-profit four-years
122649,Private not-for-profit four-years
481535,Private not-for-profit four-years
122931,Private not-for-profit four-years
123095,Private not-for-profit four-years
123165,Private not-for-profit four-years
123280,Private not-for-profit four-years
487667,Private not-for-profit four-years
123457,Private not-for-profit four-years
399911,Private not-for-profit four-years
123633,Private not-for-profit four-years
123952,Private not-for-profit four-years
117575,Private not-for-profit four-years
117672,Private not-for-profit four-years
123970,Private not-for-profit four-years
123855,Private not-for-profit four-years
243744,Private not-for-profit four-years
123916,Private not-for-profit four-years
447953,Private not-for-profit four-years
455433,Private not-for-profit four-years
455664,Private not-for-profit four-years
491190,Private not-for-profit four-years
488819,Private not-for-profit four-years
117751,Private not-for-profit four-years
475228,Private not-for-profit four-years
125037,Private not-for-profit four-years
475237,Private not-for-profit four-years
126012,Private not-for-profit four-years
124292,Private not-for-profit four-years
126049,Private not-for-profit four-years
459736,Private not-for-profit four-years
459727,Private not-for-profit four-years
123448,Private not-for-profit four-years
117140,Private not-for-profit four-years
121691,Private not-for-profit four-years
488785,Private not-for-profit four-years
122436,Private not-for-profit four-years
122612,Private not-for-profit four-years
123961,Private not-for-profit four-years
120883,Private not-for-profit four-years
488846,Private not-for-profit four-years
449870,Private not-for-profit four-years
123651,Private not-for-profit four-years
112525,Private not-for-profit four-years
125718,Private not-for-profit four-years
125727,Private not-for-profit four-years
125763,Private not-for-profit four-years
122728,Private not-for-profit four-years
125897,Private not-for-profit four-years
401223,Private not-for-profit four-years
126076,Private not-for-profit four-years
401250,Private not-for-profit four-years
458575,Private not-for-profit four-years
110422,Public four-years
110529,Public four-years
111188,Public four-years
110486,Public four-years
441937,Public four-years
110538,Public four-years
110547,Public four-years
110574,Public four-years
110556,Public four-years
110565,Public four-years
110583,Public four-years
110592,Public four-years
409698,Public four-years
110608,Public four-years
110617,Public four-years
110510,Public four-years
366711,Public four-years
110495,Public four-years
115755,Public four-years
119678,Public four-years
122409,Public four-years
122597,Public four-years
122755,Public four-years
123572,Public four-years
488800,Public four-years
110635,Public four-years
110644,Public four-years
110398,Public four-years
110653,Public four-years
110662,Public four-years
445188,Public four-years
110671,Public four-years
110680,Public four-years
110699,Public four-years
110705,Public four-years
110714,Public four-years
126207,Community Colleges
126289,Community Colleges
126711,Community Colleges
126748,Community Colleges
126863,Community Colleges
126942,Community Colleges
127200,Community Colleges
127389,Community Colleges
127617,Community Colleges
127732,Community Colleges
127778,Community Colleges
127820,Community Colleges
127884,Community Colleges
127909,Community Colleges
128258,Community Colleges
126401,Other private not-for-profits
127787,Other private not-for-profits
126872,Other private not-for-profits
451033,Other private not-for-profits
262466,Other private not-for-profits
126915,"Other public two-years, less-than-two-years"
127158,"Other public two-years, less-than-two-years"
128151,"Other public two-years, less-than-two-years"
449454,Private for-profits
460738,Private for-profits
448734,Private for-profits
454829,Private for-profits
454810,Private for-profits
459277,Private for-profits
126359,Private for-profits
381699,Private for-profits
476586,Private for-profits
461953,Private for-profits
443632,Private for-profits
381732,Private for-profits
126784,Private for-profits
381352,Private for-profits
126827,Private for-profits
126687,Private for-profits
454856,Private for-profits
482440,Private for-profits
460215,Private for-profits
447175,Private for-profits
447166,Private for-profits
128337,Private for-profits
127219,Private for-profits
127228,Private for-profits
381866,Private for-profits
372329,Private for-profits
127839,Private for-profits
128179,Private for-profits
128188,Private for-profits
127316,Private for-profits
459675,Private for-profits
244154,Private for-profits
126951,Private for-profits
381361,Private for-profits
479983,Private for-profits
466161,Private for-profits
127680,Private for-profits
466189,Private for-profits
489104,Private for-profits
454847,Private for-profits
462327,Private for-profits
462318,Private for-profits
476823,Private for-profits
459286,Private for-profits
482176,Private for-profits
461689,Private for-profits
442134,Private for-profits
404912,Private for-profits
260813,Private for-profits
127945,Private for-profits
480790,Private for-profits
436261,Private for-profits
490009,Private for-profits
126605,Private for-profits
454689,Private for-profits
126702,Private for-profits
459295,Private for-profits
126164,Private for-profits
443289,Private for-profits
461810,Private for-profits
484640,Private for-profits
441308,Private for-profits
469160,Private for-profits
469151,Private for-profits
372356,Private for-profits
448752,Private not-for-profit four-years
448761,Private not-for-profit four-years
126669,Private not-for-profit four-years
126678,Private not-for-profit four-years
367839,Private not-for-profit four-years
126979,Private not-for-profit four-years
127273,Private not-for-profit four-years
454838,Private not-for-profit four-years
439288,Private not-for-profit four-years
127954,Private not-for-profit four-years
127653,Private not-for-profit four-years
127714,Private not-for-profit four-years
127918,Private not-for-profit four-years
127060,Private not-for-profit four-years
126182,Public four-years
127556,Public four-years
126775,Public four-years
126818,Public four-years
476975,Public four-years
128106,Public four-years
127185,Public four-years
127565,Public four-years
128328,Public four-years
126614,Public four-years
126580,Public four-years
126562,Public four-years
127741,Public four-years
128391,Public four-years
128577,Community Colleges
129367,Community Colleges
130396,Community Colleges
129543,Community Colleges
129695,Community Colleges
129756,Community Colleges
129729,Community Colleges
130040,Community Colleges
130004,Community Colleges
130217,Community Colleges
129808,Community Colleges
130606,Community Colleges
417178,"Other public two-years, less-than-two-years"
431187,"Other public two-years, less-than-two-years"
417187,"Other public two-years, less-than-two-years"
441317,"Other public two-years, less-than-two-years"
417248,"Other public two-years, less-than-two-years"
431707,"Other public two-years, less-than-two-years"
417275,"Other public two-years, less-than-two-years"
460604,"Other public two-years, less-than-two-years"
441335,"Other public two-years, less-than-two-years"
417257,"Other public two-years, less-than-two-years"
441353,"Other public two-years, less-than-two-years"
449463,Private for-profits
480736,Private for-profits
129482,Private for-profits
481571,Private for-profits
451042,Private for-profits
128674,Private for-profits
434520,Private for-profits
430096,Private for-profits
443483,Private for-profits
128896,Private for-profits
407054,Private for-profits
485607,Private for-profits
457332,Private for-profits
489399,Private for-profits
415057,Private for-profits
457341,Private for-profits
128683,Private for-profits
129181,Private for-profits
129923,Private for-profits
445911,Private for-profits
129932,Private for-profits
480903,Private for-profits
455798,Private for-profits
130110,Private for-profits
128540,Private for-profits
129349,Private for-profits
129002,Private for-profits
130174,Private for-profits
130183,Private for-profits
484127,Private for-profits
460695,Private for-profits
129969,Private for-profits
448619,Private for-profits
413778,Private for-profits
130509,Private for-profits
448822,Private for-profits
128498,Private not-for-profit four-years
128902,Private not-for-profit four-years
129242,Private not-for-profit four-years
129154,Private not-for-profit four-years
129491,Private not-for-profit four-years
129534,Private not-for-profit four-years
129774,Private not-for-profit four-years
130226,Private not-for-profit four-years
129428,Private not-for-profit four-years
130253,Private not-for-profit four-years
130448,Private not-for-profit four-years
130590,Private not-for-profit four-years
128744,Private not-for-profit four-years
129525,Private not-for-profit four-years
129941,Private not-for-profit four-years
130314,Private not-for-profit four-years
130697,Private not-for-profit four-years
130794,Private not-for-profit four-years
130785,Private not-for-profit four-years
128771,Public four-years
128780,Public four-years
129215,Public four-years
130493,Public four-years
130624,Public four-years
129020,Public four-years
436827,Public four-years
463056,Public four-years
436836,Public four-years
436818,Public four-years
130776,Public four-years
130907,Community Colleges
432524,Other private not-for-profits
130837,Other private not-for-profits
451051,Private for-profits
130873,Private for-profits
449472,Private for-profits
488262,Private for-profits
444200,Private for-profits
441362,Private for-profits
